district,province,agro_climatic_zone,season,farm_size_acres,variety,soil_type,irrigation_type,seasonal_rainfall_mm,avg_temperature_c,avg_relative_humidity_pct,fertilizer_kg_per_acre,previous_yield_kg_per_acre,pest_disease_level,planting_density_plants_per_acre,seed_rate_kg_per_acre,soil_ph,soil_organic_matter_pct,yield_kg_per_acre
Anuradhapura,North Central,Dry,Maha,1.9552982825236997,OPV_Local,Sandy,Rainfed,848.5465344772629,29.92934483241794,76.36470715820941,93.8271273498561,3262.5968618546594,None,7560,7.4683924560933646,6.631765870243897,2.259650165638546,3678.5584230453624
Ampara,Eastern,Dry,Maha,5.560094916121985,Hybrid_B,Clay,Tube well,929.9784528017342,29.21581767191199,70.08781871302538,71.8012310664991,3732.1565980028736,Low,7119,9.254886209411964,5.674277857964658,1.5696476939473964,4054.1845435569903
Anuradhapura,North Central,Dry,Maha,1.943293247908623,Hybrid_B,Loam,Rainfed,956.6479235267202,32.07273290719039,76.80351413390807,25.44686309353264,2898.3108122031595,None,8204,9.437676668275847,6.043365667705285,1.8196844909731706,3499.1302797231633
Monaragala,Uva,Dry,Maha,2.722467434461615,Hybrid_A,Loam,Rainfed,822.6055300462901,30.601434336465733,85.7329371820758,92.71423573212523,2121.8646142993143,Medium,8364,9.893602264105285,6.081548740471549,2.2106735997023597,3311.7750542757076
Badulla,Uva,Intermediate,Maha,3.450790738735053,Hybrid_A,Sandy,Tank,985.3688968486608,27.27194661596362,78.78444346371654,101.70801235945454,2156.9378965046353,Low,9846,8.511256367121545,5.958321107028422,2.2234724319842893,3720.708804104452
Anuradhapura,North Central,Dry,Maha,1.329793966699145,OPV_Local,Sandy,Rainfed,1569.2673424243787,27.157494640573,72.0892894297865,82.94297854266068,2938.0165844487137,Medium,8239,8.271065524606998,6.1781495794035255,1.4874446701390518,4300.0
Anuradhapura,North Central,Dry,Maha,1.1124547396240314,Hybrid_B,Clay,Canal,976.7601711566667,30.396752326147915,76.66222159260079,69.54016493278874,2869.2775009896886,Medium,9949,7.849271472280587,6.646193821526517,1.7584651432962741,3653.932594300836
Ampara,Eastern,Dry,Yala,2.9438380093878305,Hybrid_A,Clay,Rainfed,1050.029653684892,29.12767989208785,74.94499811493066,67.13685280391094,2800.7383052969417,Medium,9335,7.5999572484431805,7.341574274058457,1.1957878329502085,3501.660768712427
Badulla,Uva,Intermediate,Yala,1.9720143302840398,Hybrid_B,Clay,Tank,951.0244234673354,28.9701436801013,77.11765571098717,51.839061670564746,2625.0179465057427,Low,9171,7.879902991915628,6.030000821995106,2.0705810480443385,3446.425937911262
Anuradhapura,North Central,Dry,Yala,1.4184039833974267,Hybrid_B,Loam,Tank,581.4214448705886,27.811043470748135,68.68933467248539,65.30416266233937,2950.581177551162,High,10127,9.443425585522222,6.328027661516458,1.8866886544681176,2792.181990005383
Anuradhapura,North Central,Dry,Maha,2.3933791885291136,Hybrid_A,Loam,Tank,1437.202560860567,29.36948782185177,75.41027033259365,85.18316781764447,2651.4874018079486,Medium,9001,8.513851640859974,6.443954244346974,1.3588931513011735,4300.0
Badulla,Uva,Intermediate,Maha,2.3730983766831772,Hybrid_A,Sandy,Rainfed,1781.756645307888,26.83004205757382,72.96166894691534,56.81336180023151,1867.9637957898813,High,8326,7.664954072290932,6.467677203914294,2.1392291830440113,4300.0
Monaragala,Uva,Dry,Yala,0.6457784533303899,Hybrid_B,Loam,Tube well,1302.9209284879578,30.915328144865544,70.18494608737177,32.311040360000696,3328.6263971494736,Medium,8696,9.861597943170809,5.682507553542536,1.4804374839323589,4182.775024471739
Ampara,Eastern,Dry,Yala,1.9446315640765048,Hybrid_B,Loam,Rainfed,926.4650389766177,30.1173266008705,77.26968926853334,45.25787397956688,2115.6720482910387,None,9949,8.86554541317755,6.063181058549551,2.985806382865766,3204.832168355457
Badulla,Uva,Intermediate,Yala,2.5131071521058903,Hybrid_A,Sandy,Tube well,1401.0989426571168,26.642091847303874,82.11630875999063,93.28533871069092,2021.329415702292,Low,7735,6.25684460446389,6.2787669244999496,2.4022795790571734,4300.0
Monaragala,Uva,Dry,Maha,1.9703900413987863,OPV_Local,Clay,Tank,725.255863341866,29.433342761324056,75.30439269363585,69.28071554192995,1891.674317983252,High,8719,7.065083549444662,6.701352646973517,2.1566187722677936,2527.0819246801793
Anuradhapura,North Central,Dry,Maha,1.3962552625461813,OPV_Local,Sandy,Rainfed,925.5679769022843,29.37156356805453,66.78854606548376,57.819715282362,2316.891285112684,None,10568,8.538789907168901,6.085123521403337,2.0497859375139553,3200.675344817138
Ampara,Eastern,Dry,Yala,1.6900788804434381,Hybrid_A,Loam,Rainfed,566.6579663163185,31.14024912093343,82.8698062810077,64.52120712975967,3002.153924483422,Low,9080,11.886768889300761,6.90380871014556,1.8104576859634633,2900.5053989927183
Badulla,Uva,Intermediate,Maha,1.2857557599695997,Hybrid_A,Loam,Tank,1062.059439204833,29.82456996208708,83.2898385416967,69.82460189103442,3381.5765383338107,Low,8869,7.5525873785389095,7.085405834771346,2.277237030579261,4142.221620151309
Monaragala,Uva,Dry,Maha,1.7191782558205722,Hybrid_B,Sandy,Tank,792.315133759789,30.175563084028685,69.09614458526904,59.28324155717669,2511.194551819675,High,8022,8.55337379073931,6.026072447615033,2.089319778045887,2953.024225897863
Anuradhapura,North Central,Dry,Maha,2.3758713282431616,OPV_Local,Clay,Canal,884.9378461443188,29.619198766515073,77.50832274023074,33.27308381532982,3048.2112807995727,Low,8203,9.127658535452476,6.056533379555868,0.6365825295348366,3145.0168395015166
Anuradhapura,North Central,Dry,Maha,1.945680699328313,Hybrid_A,Sandy,Tank,956.596056283525,29.556878405579695,67.83751980829629,61.53977802694384,3242.642979870065,Low,8280,9.419261323271655,5.891631915404072,2.270862924540698,3969.449407566455
Badulla,Uva,Intermediate,Maha,2.2525885797027434,Hybrid_A,Clay,Canal,1167.1232589225194,27.90390774496748,77.06593658764753,95.69120535651577,2866.8567541865095,High,9103,8.046935337265285,6.180577199167378,1.5972092685262653,4097.940793171559
Badulla,Uva,Intermediate,Maha,1.5000647432207501,Hybrid_A,Clay,Rainfed,851.6126022608721,26.590296426899116,66.77524847384487,62.26670335109121,2767.735719259612,Medium,10308,8.859620111140579,6.301404762036012,2.4805839068284423,3087.822167002981
Hambantota,Southern,Dry,Maha,2.2215715871196933,Hybrid_A,Clay,Rainfed,1008.6366589418237,30.25933823932754,86.62415714682638,74.0010576112869,2864.252646246141,Low,8386,7.5651711935887285,6.773651117444911,1.3007413218637929,3722.3795634575677
Ampara,Eastern,Dry,Yala,1.446225425573139,Hybrid_A,Clay,Tank,840.6275142354583,28.32548354106123,70.33424043954334,78.30061084698674,3077.935218991048,Medium,7970,9.456566512116225,7.010037036462228,2.1894044322565906,3712.780233502383
Monaragala,Uva,Dry,Maha,2.5216473735363545,Hybrid_A,Clay,Rainfed,1087.7713723996999,29.835962351583785,66.24706571620975,123.80654355157017,2814.2728964295957,Low,8898,9.298343286288562,6.616454154281521,2.056718816995392,4126.163027006161
Badulla,Uva,Intermediate,Maha,2.347894939279196,Hybrid_A,Clay,Tube well,1082.286939543112,27.649055695880424,78.33434947373216,94.07221340636087,2049.1648555197758,High,10176,8.326191311563111,6.207903518523661,1.1915269373178827,3409.0714969654086
Badulla,Uva,Intermediate,Yala,1.6533882162045754,Hybrid_A,Loam,Canal,769.3085503140167,27.505108323096866,76.36365858151397,10.668493855285426,2737.196156062519,Low,8592,9.26582700129476,7.232030242725406,2.68859552068343,2999.1274629298628
Anuradhapura,North Central,Dry,Yala,0.8488003866954132,Hybrid_A,Sandy,Tank,943.578647368928,29.32676750569127,69.55802795871858,57.969103292711374,2806.2436265092806,Medium,8310,7.71586963905512,6.447893602461354,1.7215159478054012,3598.7111834718194
Badulla,Uva,Intermediate,Maha,0.5628638900180698,Hybrid_A,Sandy,Tank,1128.8803287300075,26.467308985441008,88.51362266054174,90.58492464924414,3294.0531398975468,None,9449,7.258043051661048,6.163965880174103,2.2425621928595425,4270.024299818089
Anuradhapura,North Central,Dry,Maha,2.5773485086637686,Hybrid_B,Clay,Canal,862.1660679280226,30.239122728333115,76.5586075478103,63.18997833509221,2956.9758693416898,Low,7673,9.516429721127592,6.316794038600655,1.5340938856366724,3604.8382239706057
Monaragala,Uva,Dry,Maha,0.3,Hybrid_B,Loam,Rainfed,1473.2204010238083,29.75322096064314,72.41972132877764,58.011780090203104,2927.63716802787,Low,8766,9.713632070218173,6.451402441897918,2.005211233023314,4300.0
Monaragala,Uva,Dry,Maha,1.8459016574649858,Hybrid_B,Loam,Tank,1104.0554652743865,29.917098046434006,69.76144191814383,52.87729604114912,2842.2550071410265,Medium,7919,8.94907803128592,5.633837378092972,2.6204089461279505,3897.8333698523215
Anuradhapura,North Central,Dry,Maha,3.4822007222394475,Hybrid_A,Clay,Tube well,1323.1614143039887,27.290950922402025,65.3225381995858,56.25399129069507,2830.95824108855,Low,9265,7.701681805531187,6.484045044014685,1.3712319473526742,4245.047905138565
Monaragala,Uva,Dry,Maha,0.5636719579941889,Hybrid_B,Loam,Rainfed,1208.5299381937957,29.72180334843385,67.84985331891272,85.40681734699781,2518.232112980135,Low,8909,11.316092992095674,6.356773045123908,2.704491328399973,4042.4390077362277
Anuradhapura,North Central,Dry,Maha,2.5723643386827018,Hybrid_B,Sandy,Rainfed,976.2573093032611,30.258889286866626,78.83532669776038,83.67981916877832,2160.5056176460084,Low,8145,8.227729500893345,6.366504956904979,2.3344704682854744,3422.4287726537837
Ampara,Eastern,Dry,Maha,0.6314228592254039,Hybrid_B,Sandy,Canal,1084.5635434790977,27.50684687978081,75.57770931479551,74.56912911758845,2874.063111622057,Medium,7650,7.310837805550912,6.873918783999807,1.8723113923003414,3889.666909377252
Ampara,Eastern,Dry,Yala,1.4872285839393,Hybrid_A,Clay,Tank,831.9821328368994,29.766560525960454,70.12750827001913,97.62663476261746,2384.264933067808,Low,8631,8.016295835898408,7.05114004795918,2.0375883435581024,3558.229383101202
Ampara,Eastern,Dry,Maha,0.4887176456148765,Hybrid_A,Loam,Tube well,1118.1024776405934,30.778576450078422,69.89626929939777,101.00564368408276,3725.537211920085,None,8473,8.00994722645915,7.054023014702966,3.005700502011498,4300.0
Monaragala,Uva,Dry,Maha,1.8670493569825577,Hybrid_A,Loam,Tank,1151.5272411580345,31.360600591376894,67.00987575556725,91.65509276648484,2670.1246854252863,Low,8755,9.242301441383264,5.894775090296966,2.1676868223288355,4273.20552909093
Badulla,Uva,Intermediate,Maha,2.3678287008077414,Hybrid_A,Loam,Tank,1159.774831992566,29.226819837329064,86.52302548793912,57.44358153751152,2410.410659296224,None,9224,7.892554651290932,6.68481931798998,2.0420461145959097,3850.0338642959628
Badulla,Uva,Intermediate,Maha,2.1715721211886594,Hybrid_A,Clay,Tank,1373.5804937971454,28.590253127207397,90.0612272325981,66.10716099513091,2424.715157293849,None,7558,7.695976956063889,6.3850928622067915,3.156190504462451,4295.968303371811
Ampara,Eastern,Dry,Maha,2.1125985540569534,Hybrid_A,Sandy,Canal,1250.0161277177885,31.71604879088324,76.50356911195578,62.09557400268469,3008.0750288907698,Low,9797,9.4025303993171,6.628273313998284,2.646672282712408,4300.0
Badulla,Uva,Intermediate,Yala,1.7412378236989883,Hybrid_A,Clay,Tube well,1132.277011015331,29.24781075981003,73.09838597407658,78.11081279520383,2594.7976988225087,None,8825,9.906297048868028,6.485994580608957,1.9325055837093041,3835.857479360856
Badulla,Uva,Intermediate,Maha,2.6089408877258595,Hybrid_B,Loam,Canal,1279.0349828748706,28.13482583092441,81.64737905829924,74.10540070943988,2572.497881888778,Low,8974,9.680994924845749,5.938068115265024,1.9930787719028131,4193.026474928832
Monaragala,Uva,Dry,Maha,1.3690242450919912,Hybrid_A,Clay,Tube well,1182.9866125141946,31.37862883508121,72.60549843356208,57.785610412749634,3550.0859691650476,High,7496,6.08131344771791,6.598006502524,1.5485620429531721,4009.042380590885
Anuradhapura,North Central,Dry,Maha,2.5729386249343857,Hybrid_B,Loam,Tube well,1243.0442591509054,29.38098896346474,84.079821976286,46.458135140824645,2179.2794282116097,None,8177,8.449855382008952,6.509502752195211,1.731134759500569,3939.5336277770143
Anuradhapura,North Central,Dry,Maha,2.225589079058819,Hybrid_B,Loam,Tube well,1200.4857082138324,30.183720736278644,75.6862513601039,84.13990071708596,3378.2440626556213,Low,8976,9.279904133347364,6.359618937570748,2.908082050814631,4300.0
Anuradhapura,North Central,Dry,Maha,3.6108934112652746,Hybrid_A,Sandy,Tank,1001.8396446927485,27.232551122865363,70.28616208450553,16.674654814162956,2154.760814135996,Medium,9484,9.364380174515915,6.591455902803235,1.2231166998095508,3111.009637636707
Monaragala,Uva,Dry,Yala,1.6900840348618191,Hybrid_A,Sandy,Rainfed,905.9148845787968,29.750059369537063,60.74959078945426,64.56209758454686,2473.5666158409244,Medium,7898,8.19078967782545,7.2089589370822855,2.348590002886907,3129.8100500702812
Anuradhapura,North Central,Dry,Maha,2.4439536422883505,Hybrid_B,Sandy,Tank,1113.1186813824384,28.72367586675331,77.18933988168153,78.6566784792785,3195.9811524116476,High,9371,9.654507986851268,6.159144154797745,2.822175845944028,3994.6476224743014
Monaragala,Uva,Dry,Maha,1.281152896566274,Hybrid_A,Clay,Tank,993.5451165080492,29.115583230166816,75.5449956784115,81.50238073678099,2519.0459983457968,None,8778,10.85649739447305,7.1773944265453204,2.205426568771822,3826.044634398717
Anuradhapura,North Central,Dry,Maha,2.014029760382348,Hybrid_A,Loam,Tank,1187.8290869731613,30.27663512764329,70.10088122620375,104.62770879238073,2305.1784215390167,Low,7482,8.74689700041597,6.87119423617547,3.078749384020508,4224.510749281539
Badulla,Uva,Intermediate,Yala,3.302713332239601,OPV_Local,Loam,Tank,1403.6200979124394,27.049324758188565,80.37482120062445,80.86866409822025,2869.482981646041,Low,8304,7.761214295268143,6.38850066805385,2.7209103134815553,4300.0
Monaragala,Uva,Dry,Maha,1.5479163845181994,Hybrid_A,Sandy,Tank,815.1700753414007,30.892992144854222,70.19379279212865,77.62308539807574,2740.2933568707426,Low,9229,8.584504080166282,5.822653499115144,2.597386773612998,3448.4481229420853
Monaragala,Uva,Dry,Maha,1.5944467013434864,Hybrid_B,Sandy,Tank,1556.884556383385,29.958322542677863,75.58024988314642,92.66623598870052,2860.2914467911355,None,8566,8.284015166006524,6.367779433263672,1.8739444344431109,4300.0
Anuradhapura,North Central,Dry,Maha,1.9493485915169344,Hybrid_A,Clay,Tank,1301.592088434546,29.915786171077592,78.98806065915791,10.0,3697.1173760079055,Low,8674,9.719001098411269,5.932042332793511,2.3289417335437985,4254.395330216953
Polonnaruwa,North Central,Dry,Maha,2.7265643441543164,Hybrid_B,Loam,Tube well,1209.050015353973,29.680502686172293,75.18976601479736,122.87514287524205,2735.800105245894,None,8980,9.655719835608373,6.8974866698310935,2.730921213892266,4300.0
Monaragala,Uva,Dry,Maha,0.8141453329060406,Hybrid_A,Sandy,Tube well,1085.8895637495416,29.894514892364178,74.92814329270163,79.28225659317627,3437.7587330046317,None,9208,8.231427701180287,6.833839225729761,2.7326293422472485,4186.998354951714
Ampara,Eastern,Dry,Yala,1.7355817669303237,Hybrid_B,Loam,Canal,903.4273904679228,28.18446989572576,64.35969470443423,105.07911139094938,2404.2762337063023,None,7907,6.131270875035914,6.112467213539724,0.9738371446147511,3824.1243492650055
Badulla,Uva,Intermediate,Maha,2.8593262348755024,Hybrid_A,Clay,Rainfed,994.2940573120088,25.825521503651732,84.13542259205784,123.67455293946401,3341.3945837744177,Low,9307,9.154229775831814,6.784037001451139,2.4312500128507355,4266.852383468927
Monaragala,Uva,Dry,Yala,0.3,Hybrid_A,Clay,Tank,878.3652821051551,28.3136906714189,66.37846409670537,73.95767132537652,3344.640960264732,None,9626,6.772449336014505,5.954667338543349,2.558539831591751,3757.2630340682763
Anuradhapura,North Central,Dry,Maha,1.6865985075028265,Hybrid_A,Sandy,Canal,749.5413786230328,30.02856968555248,72.88217320643992,82.15477899717725,2914.0439363071578,None,10027,8.637746952912698,6.2067675064936365,1.9856082521225986,3570.7952876904174
Ampara,Eastern,Dry,Yala,0.7183299263782792,Hybrid_A,Loam,Rainfed,747.5608564849003,28.637911281316963,78.36954626166664,63.51110707757539,3284.0516705229684,Low,8193,8.806893578446182,6.024093826033109,3.4016043894413714,3321.70336495718
Ampara,Eastern,Dry,Yala,2.194329674715676,Hybrid_A,Loam,Tank,1112.0534056948802,32.15262760190962,69.655049289953,39.864334449260284,2722.921539692473,Medium,11000,7.615957975233296,7.137602562449831,3.0743905698535086,3750.3077523497536
Ampara,Eastern,Dry,Yala,1.539828646061887,Hybrid_A,Loam,Canal,855.2123207774804,28.801982903261628,66.9114596158428,55.71589400854784,2245.945087959852,Low,8830,7.653029445835494,6.5052036603058365,0.8108730476574608,3264.958417487993
Badulla,Uva,Intermediate,Maha,2.6918525135284783,Hybrid_A,Sandy,Tube well,1667.9659251042947,28.302822811239256,73.76992886544954,68.77308029153046,2994.4973032591233,Medium,8868,9.092631591691006,5.985696883114286,2.0185525768252544,4300.0
Anuradhapura,North Central,Dry,Maha,0.8623028735610498,Hybrid_B,Loam,Rainfed,1030.3901410671435,30.95571723997502,73.85030148183942,121.02524987959728,2985.193492545636,Medium,8972,8.159971889377248,6.460093407152027,1.793271114533619,4160.49532966214
Anuradhapura,North Central,Dry,Maha,2.8088672009548548,Hybrid_A,Loam,Tank,696.0348179172747,30.109589592295052,66.37980036295676,22.636406955045373,2983.203013903005,High,11000,8.493321997306117,6.777320848503239,1.9572805509832953,2964.151143638581
Monaragala,Uva,Dry,Yala,1.7337882311393618,OPV_Local,Clay,Canal,733.7360649115742,30.143811812284483,67.60919210925377,70.61998546212082,2756.1700214094344,Low,9777,9.022168056167947,6.388737868564686,2.472436409440201,3280.984794251168
Anuradhapura,North Central,Dry,Maha,2.429919791034269,Hybrid_A,Loam,Tank,1112.4629834773637,30.135631305228078,72.57700733164545,80.70303616417644,2847.0792542202503,None,7022,7.466731066799371,6.335160599925273,1.0532136800112246,4245.200271874463
Badulla,Uva,Intermediate,Maha,2.041234084342006,Hybrid_A,Loam,Canal,1225.8410863540314,27.063916803750875,76.18518188107123,61.46010999209297,2831.574813397705,Low,8944,8.503350622168757,6.596622176385858,2.733452392350439,4300.0
Badulla,Uva,Intermediate,Maha,0.48934692997259166,Hybrid_A,Clay,Rainfed,1042.575134266941,25.637623474903975,81.24877636922872,86.70141352665823,2517.8656316947777,None,6468,7.899131106922269,6.576311802431146,0.8647619018581099,3743.3850186654645
Anuradhapura,North Central,Dry,Maha,2.0136013499934453,OPV_Local,Clay,Tube well,885.9248330060577,30.93588580199739,72.04882256183818,69.3993001307815,2428.027457189258,Low,8401,7.5267170145704085,6.32217427303446,3.09819593609964,3192.0986135704757
Monaragala,Uva,Dry,Yala,0.36711667201709597,OPV_Local,Clay,Canal,766.7645812578899,31.691211656256325,77.06755522803562,59.265949020794544,3666.0694495715115,Low,8254,9.316304909210238,6.534681661182922,2.8112189025791583,3631.6274245181717
Anuradhapura,North Central,Dry,Maha,1.5529445262534967,Hybrid_A,Clay,Rainfed,1140.62966729028,27.883448452564366,67.17031576893609,96.40910597477736,2544.104402832014,Medium,7857,9.090318027780015,6.933566869598349,2.403267317465547,4019.836132261109
Badulla,Uva,Intermediate,Maha,1.1810446658590124,Hybrid_A,Loam,Rainfed,1400.2953098579537,30.398002813881302,74.13889061771914,90.41248281778722,2783.9455124567753,Medium,9041,10.181315269053785,6.628526090330331,2.276807255334743,4300.0
Anuradhapura,North Central,Dry,Maha,3.853396773443306,OPV_Local,Loam,Rainfed,857.2941595412296,29.234495651697074,71.33912020066647,76.76294735180022,3162.6096292665047,Low,9574,7.858614817574168,6.324795228796115,2.0978059653418097,3575.8848437712245
Ampara,Eastern,Dry,Maha,3.4269782972189926,Hybrid_B,Sandy,Tank,1187.9313493855811,28.718371727449806,69.82829990950145,82.90000841261205,3280.078890002127,Low,8819,8.83971631385886,7.165996725085858,2.0685272256419975,4300.0
Monaragala,Uva,Dry,Maha,1.7684668152154148,Hybrid_B,Clay,Rainfed,830.6543880163395,29.24917209125677,67.8968772747442,57.2284841042961,3007.202929856656,Medium,10302,8.93413868280528,5.861852622084167,2.2112218677540985,3398.3952177393944
Badulla,Uva,Intermediate,Maha,1.3207062408965868,Hybrid_B,Loam,Canal,1273.391407306288,28.303438932688433,72.6750469331874,60.37591739288497,3063.400170287664,Low,8464,10.399660236356747,6.220163716473429,2.05727930802632,4300.0
Monaragala,Uva,Dry,Maha,1.3757347614021755,Hybrid_B,Loam,Rainfed,1662.8038428470154,28.822902881611135,74.10730781918222,103.92641895649327,3602.5590130268315,Low,10655,9.829202853652458,6.860828136615158,2.314768864440828,4300.0
Badulla,Uva,Intermediate,Maha,1.3763735694878934,Hybrid_A,Loam,Canal,1319.4495149842064,29.573036097266314,71.14986531519897,65.7394918958462,2458.934625346822,Medium,7120,8.40905124557303,6.345213621227523,2.959414820269491,4246.468985534228
Matale,Central,Intermediate,Yala,1.6848401060926597,Hybrid_B,Loam,Rainfed,888.9233679208345,27.353351868714736,84.53249171822512,111.4608987305614,3408.1622818743194,Medium,8360,7.268420823382088,6.463398811110042,0.6620924441060039,3846.3021030545874
Monaragala,Uva,Dry,Maha,1.7597775430162648,OPV_Local,Clay,Tank,842.6182961437366,26.053285344062022,72.83491056969618,108.98953512673437,3457.728870110105,Medium,8388,7.837566733602041,6.610948415233761,1.2011301925681959,3821.117229344975
Ampara,Eastern,Dry,Maha,1.0659165425812671,OPV_Local,Loam,Tank,918.0863221112309,29.228225329718168,75.20419304089707,90.09886177713149,2422.664840714255,Low,10143,8.201764038853174,6.3903847175432045,1.3769518245965235,3370.311836977216
Monaragala,Uva,Dry,Yala,2.739843126542997,Hybrid_A,Sandy,Tube well,556.2399114849607,28.865136787184447,77.76558807773097,42.40563269027651,2883.294331509984,Low,7579,9.01307298067688,6.383961332966133,0.7694077288661434,2828.919356661819
Anuradhapura,North Central,Dry,Maha,0.9349692719705228,Hybrid_A,Loam,Canal,1113.5695669665538,30.01457980039669,77.15863364357887,73.88171421609896,2665.8483075850045,Low,8055,8.594758271351012,5.917537444606477,0.3,4060.1521901100487
Monaragala,Uva,Dry,Maha,2.7587380990318855,Hybrid_B,Sandy,Tank,1059.762782956935,31.14985170297782,69.12421492525279,52.41777585369442,2557.2477206835465,Low,7942,8.634937347594276,7.131105306311302,2.1261554911812204,3610.4000937495985
Ampara,Eastern,Dry,Yala,2.738954288289801,Hybrid_A,Sandy,Tube well,882.8758166571836,29.28342410369125,92.0,76.5725639840451,2444.2477589600226,Medium,8416,9.763290280116431,6.450971684741995,0.8932054151778432,3353.149483349254
Badulla,Uva,Intermediate,Maha,1.2652631187379557,Hybrid_B,Loam,Tube well,1406.6412198047844,26.784372014010952,74.13870100609523,92.65913798678554,2619.3943605152526,Low,8436,7.449365162715711,6.590619579517058,3.3437674434702016,4300.0
Anuradhapura,North Central,Dry,Yala,0.8907261482604643,Hybrid_B,Sandy,Tube well,994.2275613856827,29.27542688199454,78.91437997407918,96.12249313442453,3907.616729647818,Low,9321,8.858375948240383,6.4874729357098015,1.652783595032518,4288.298220427753
Ampara,Eastern,Dry,Maha,1.619368660367922,Hybrid_B,Loam,Rainfed,633.1919222181092,28.77061361548668,80.78196727936665,69.4969026294246,2340.2930624361375,Medium,8345,9.424682029155008,6.646030105690621,1.732747530581214,2745.0398787710915
Anuradhapura,North Central,Dry,Maha,2.848395353240562,Hybrid_A,Clay,Rainfed,1005.0435312020294,29.984476108403932,72.8548263616545,50.118559063937184,2956.2308983230732,Low,7738,9.80644732730772,6.190922216215723,2.0408117591109876,3659.1182881325594
Anuradhapura,North Central,Dry,Yala,1.6540402749811265,Hybrid_A,Sandy,Canal,679.9271085867736,28.68670603537018,76.0834470979535,73.95079920267115,2967.2646416948946,Low,9240,9.198193615417948,6.899364928880301,2.1868730598499586,3232.8756216785723
Badulla,Uva,Intermediate,Maha,0.3,Hybrid_A,Loam,Rainfed,1486.4327689730928,27.157606176855293,77.45680030617504,77.30356727251832,2840.009865507208,Medium,9438,8.020964992373173,6.630897609179238,1.7183173256912578,4300.0
Anuradhapura,North Central,Dry,Yala,2.4845991098124007,Hybrid_B,Loam,Canal,980.8032089482949,31.705820412154146,71.6592041057689,62.31503048539965,2811.8437655271523,Low,8527,9.379936092136255,5.6726602262035355,1.162422306597552,3580.2084265582243
