district,farm_size_acres,variety,soil_type,irrigation_type,seasonal_rainfall_mm,fertilizer_kg_per_acre,previous_yield_kg_per_acre,pest_disease_level,yield_kg_per_acre
Anuradhapura,0.505,Hybrid_A,Sandy,Tube well,802.9,79.8,1291.1,1,1362.5
Anuradhapura,0.266,Hybrid_A,Loam,Tube well,387.6,63.1,2561.6,1,1560
Anuradhapura,1.096,Hybrid_A,Loam,Rainfed,809.2,82.3,1658.4,1,1634.7
Anuradhapura,1.119,OPV_Local,Loam,Tube well,368.1,142.1,1383,0,1108.8
Anuradhapura,3.939,OPV_Local,Loam,Tank,338,148.7,569.2,2,702.6
Anuradhapura,4.491,OPV_Local,Loam,Rainfed,394.4,158,1142.6,2,742.1
Anuradhapura,9.836,OPV_Local,Sandy,Rainfed,918.2,211.6,961.8,2,734.1
Anuradhapura,0.294,Hybrid_A,Loam,Tank,342.7,216.4,1548.8,1,1407.6
Anuradhapura,0.42,Hybrid_A,Loam,Canal,360.2,87.3,2191,1,1839.9
Anuradhapura,1.915,OPV_Local,Sandy,Tube well,867.5,96.9,0,2,704.6
Anuradhapura,0.582,OPV_Local,Clay,Rainfed,427.2,158.4,0,2,627.2
Anuradhapura,2.621,OPV_Local,Sandy,Tank,885.4,68.2,781.8,0,934
Anuradhapura,0.276,Hybrid_A,Clay,Rainfed,399.5,48.7,2024.9,2,897.8
Anuradhapura,1.904,Hybrid_A,Loam,Canal,867.2,125.9,0,1,2147.4
Anuradhapura,1.842,OPV_Local,Loam,Tube well,693.2,118.1,0,2,1128.2
Anuradhapura,1.478,Hybrid_A,Loam,Tank,737.6,121.8,2763.7,2,1814.2
Anuradhapura,0.905,OPV_Local,Loam,Tank,817.5,96.7,1279.6,2,1045
Anuradhapura,0.869,OPV_Local,Loam,Rainfed,408.9,129.3,646,1,683.7
Anuradhapura,3.103,OPV_Local,Clay,Tank,815.1,105.7,902.4,1,836.1
Anuradhapura,1.48,OPV_Local,Clay,Canal,371.4,209.8,945.9,1,874.5
Anuradhapura,0.898,OPV_Local,Sandy,Tank,855,105.1,944.4,2,776.6
Anuradhapura,1.571,Hybrid_A,Loam,Rainfed,358,124,0,2,1068.4
Anuradhapura,0.62,OPV_Local,Loam,Tank,901.3,132,0,0,1263
Anuradhapura,2.127,Hybrid_A,Sandy,Rainfed,839.6,208.4,0,0,1722.7
Anuradhapura,3.854,OPV_Local,Sandy,Canal,784.8,41,1112.8,1,818
Anuradhapura,0.45,OPV_Local,Loam,Tank,814.3,113.3,1231,1,1088.4
Anuradhapura,1.602,OPV_Local,Loam,Rainfed,705.3,143.2,1014.2,2,736.5
Anuradhapura,0.78,OPV_Local,Sandy,Tank,423,100.6,1335,0,905.2
Anuradhapura,1.22,Hybrid_A,Clay,Rainfed,441.1,196.9,2160.2,2,1203.2
Anuradhapura,3.514,Hybrid_B,Loam,Rainfed,748.4,85,1604.6,1,1626.7
Anuradhapura,0.365,Hybrid_A,Loam,Rainfed,910.7,131.9,0,3,1162.5
Anuradhapura,0.936,OPV_Local,Sandy,Tube well,340.3,57.5,1343.5,3,456
Anuradhapura,0.883,Hybrid_B,Sandy,Canal,426.8,126.8,1167.7,2,1177
Anuradhapura,2.113,OPV_Local,Loam,Rainfed,1023.6,78.5,1269.7,3,678.3
Anuradhapura,1.027,Hybrid_B,Loam,Canal,393.1,118.8,1431.8,2,1305.2
Anuradhapura,0.918,OPV_Local,Loam,Canal,913.9,219.1,752.8,2,1205.5
Anuradhapura,1.585,OPV_Local,Loam,Rainfed,433.7,82.3,728.7,3,518.4
Anuradhapura,6.875,Hybrid_B,Clay,Rainfed,857.7,65.1,0,1,1373.7
Anuradhapura,3.346,OPV_Local,Sandy,Rainfed,797.5,201.8,0,1,930.1
Anuradhapura,3.371,OPV_Local,Loam,Canal,926.8,93.3,0,2,1122.9
Anuradhapura,1.413,Hybrid_A,Loam,Rainfed,801.9,133,0,1,1911.4
Anuradhapura,1.63,OPV_Local,Loam,Tube well,791.7,158.7,1214.8,1,1179.5
Anuradhapura,1.356,OPV_Local,Sandy,Rainfed,711.9,79,843.2,2,784.3
Anuradhapura,1.568,Hybrid_B,Loam,Rainfed,1072.3,159.2,1781.7,2,1563.4
Anuradhapura,1.121,OPV_Local,Loam,Rainfed,984.1,183.2,683.4,3,564.5
Anuradhapura,0.996,OPV_Local,Loam,Tank,329.3,73,925.6,1,792.7
Anuradhapura,4.038,OPV_Local,Loam,Tube well,1087.1,71.9,908.7,2,1039.3
Anuradhapura,3.116,OPV_Local,Loam,Rainfed,340.6,132.4,1219.5,2,574.7
Anuradhapura,1.031,Hybrid_B,Sandy,Rainfed,860.5,129.3,1248.7,1,1391.4
Anuradhapura,0.858,Hybrid_B,Loam,Tube well,948.5,74.1,0,3,932.2
Anuradhapura,0.493,OPV_Local,Sandy,Tube well,346.9,125.6,1376.1,1,726.7
Anuradhapura,4.47,OPV_Local,Sandy,Rainfed,989.1,203.1,0,2,864.7
Anuradhapura,2.166,Hybrid_B,Sandy,Rainfed,396.2,88.3,0,2,748.5
Anuradhapura,1.214,Hybrid_B,Sandy,Rainfed,409.5,210.8,0,1,1001.2
Anuradhapura,2.085,OPV_Local,Loam,Tube well,792,149,0,2,834.1
Anuradhapura,7.415,OPV_Local,Sandy,Tank,318.9,133.9,899.9,1,714.7
Anuradhapura,4.926,Hybrid_B,Loam,Rainfed,389.3,140.3,0,2,1049.2
Anuradhapura,2.479,Hybrid_B,Loam,Rainfed,931.2,133.1,1742,1,1651.7
Anuradhapura,0.868,OPV_Local,Loam,Tank,863,190.3,0,3,723.3
Anuradhapura,3.098,OPV_Local,Loam,Tank,384,151.8,821.5,2,819.6
Anuradhapura,1.641,OPV_Local,Sandy,Rainfed,372.3,98.3,1466.6,3,413.4
Anuradhapura,0.824,OPV_Local,Loam,Rainfed,971.9,122,1479,2,1183.2
Anuradhapura,1.965,Hybrid_B,Clay,Tank,329.5,80.8,1739.6,2,970.3
Anuradhapura,1.351,Hybrid_B,Clay,Canal,367.1,140.5,1692,2,1194.7
Anuradhapura,4.762,OPV_Local,Loam,Rainfed,849.3,74.5,990.4,2,843.8
Anuradhapura,1.601,Hybrid_B,Sandy,Tank,916.8,85.6,1313.4,1,1312.3
Anuradhapura,2.951,Hybrid_A,Sandy,Rainfed,355,54.5,2388.7,1,926.7
Anuradhapura,1.5,OPV_Local,Loam,Tube well,410.3,208.3,784,1,968.2
Anuradhapura,1.179,OPV_Local,Clay,Tank,877.9,131.1,1293.1,1,1106.5
Anuradhapura,0.599,OPV_Local,Loam,Tank,353,155.5,813.1,3,714.3
Anuradhapura,1.859,OPV_Local,Loam,Canal,365.8,170.5,720.1,3,793.7
Anuradhapura,7.717,OPV_Local,Clay,Rainfed,780.7,89.1,1542.4,1,894.4
Anuradhapura,1.575,Hybrid_A,Loam,Tank,881.8,76.8,2295.7,3,1335.4
Anuradhapura,1.569,Hybrid_A,Sandy,Rainfed,774.1,107.4,1745.9,1,1805.4
Anuradhapura,2.933,OPV_Local,Loam,Rainfed,879.4,125.2,0,3,735
Anuradhapura,1.412,OPV_Local,Loam,Rainfed,868.3,128.4,590.7,2,916.4
Anuradhapura,0.512,OPV_Local,Loam,Tank,448.2,67.4,1182.2,2,747.4
Anuradhapura,1.662,Hybrid_A,Sandy,Rainfed,905.7,122,1592.4,0,1673.4
Anuradhapura,0.966,OPV_Local,Sandy,Rainfed,1135.6,164.1,1375,3,556
Anuradhapura,1.394,OPV_Local,Loam,Tube well,1003.9,137.8,522.5,2,1042.4
Anuradhapura,2.743,OPV_Local,Sandy,Rainfed,945,128.1,1036,2,810.4
Anuradhapura,1.296,OPV_Local,Loam,Canal,888.8,50.3,380.8,1,1106.9
Anuradhapura,1.296,Hybrid_B,Loam,Rainfed,446.6,80.8,1723.4,2,1077.9
Anuradhapura,1.117,Hybrid_A,Sandy,Rainfed,1073.3,214.7,2173.1,2,1492.6
Anuradhapura,4.417,OPV_Local,Loam,Tank,762.4,149.5,1352.2,1,965
Anuradhapura,0.72,OPV_Local,Loam,Rainfed,747.1,165.5,459.8,2,689.4
Anuradhapura,4.886,Hybrid_A,Sandy,Canal,689.9,157,0,0,2236.7
Anuradhapura,0.879,Hybrid_A,Sandy,Rainfed,379.8,144.3,1549.3,2,1066.6
Anuradhapura,0.706,Hybrid_B,Clay,Tube well,1017.5,129.4,1325.8,1,1563
Anuradhapura,8.208,Hybrid_B,Clay,Tank,423.9,108,1862.5,3,1093.4
Anuradhapura,4.005,Hybrid_B,Clay,Tank,463.7,41.7,1108.4,3,805.4
Anuradhapura,0.262,Hybrid_A,Loam,Tank,473.4,133.2,2267.3,2,1659.1
Anuradhapura,0.586,Hybrid_A,Clay,Tank,543.3,166.4,1994.3,0,1877.7
Anuradhapura,4.279,Hybrid_B,Sandy,Tube well,922.5,149.4,0,2,1303.3
Anuradhapura,0.324,Hybrid_A,Loam,Rainfed,725.7,150.1,2112,0,2154.5
Anuradhapura,7.935,Hybrid_B,Loam,Rainfed,442.3,86.4,1371.6,1,1204.3
Anuradhapura,8.621,Hybrid_A,Loam,Rainfed,282,142.9,2309.9,1,1327.8
Anuradhapura,7.453,Hybrid_B,Clay,Rainfed,437.9,92.1,1515.6,1,1186.7
Anuradhapura,1.544,OPV_Local,Sandy,Rainfed,408.2,47.7,547.4,2,430.4
Anuradhapura,0.413,Hybrid_B,Loam,Rainfed,907.7,118.6,1902.5,0,1803.5
Anuradhapura,0.777,Hybrid_B,Loam,Rainfed,517.4,101.9,1134.5,2,1246.1
Anuradhapura,1.91,Hybrid_B,Loam,Rainfed,872.7,103.7,2020.1,1,1535.4
Anuradhapura,1.938,Hybrid_B,Loam,Canal,412,156.3,1573.8,1,1805.5
Anuradhapura,1.443,Hybrid_B,Sandy,Rainfed,906.5,68.2,1326,2,1051.3
Anuradhapura,1.403,OPV_Local,Loam,Rainfed,424.9,125,514.8,2,643
Anuradhapura,3.611,OPV_Local,Loam,Tank,991.2,145.4,779.3,2,1226.2
Anuradhapura,0.268,OPV_Local,Loam,Tank,1004.7,142.7,953.6,3,683.2
Anuradhapura,0.978,OPV_Local,Sandy,Tank,886.8,114.1,604.1,0,1206.7
Anuradhapura,1.668,Hybrid_A,Loam,Tank,768.2,138.8,0,1,2269.3
Anuradhapura,6.159,OPV_Local,Loam,Tube well,764.4,48,1171.8,2,956.4
Anuradhapura,2.188,OPV_Local,Loam,Tank,879.1,104.4,0,3,779.6
Anuradhapura,1.73,Hybrid_B,Loam,Rainfed,295.6,132.8,1525.8,2,901.2
Anuradhapura,0.491,Hybrid_B,Sandy,Rainfed,926.7,74.7,1772.8,2,1131
Anuradhapura,0.267,OPV_Local,Sandy,Tube well,820.6,121.6,0,0,980
Anuradhapura,1.582,OPV_Local,Loam,Tank,657.3,189.3,942.1,0,1484.6
Anuradhapura,1.69,OPV_Local,Sandy,Tank,956.7,78.8,0,3,536.6
Anuradhapura,1.989,OPV_Local,Loam,Canal,312.4,114.4,2093.9,3,756.3
Anuradhapura,0.742,OPV_Local,Loam,Canal,396.6,50.3,1141.9,0,898
Anuradhapura,9.335,Hybrid_B,Loam,Tube well,368.5,207.1,0,3,1001.6
Anuradhapura,1.041,OPV_Local,Clay,Canal,346.1,130.4,1096.8,1,815.3
Anuradhapura,3.375,OPV_Local,Loam,Tube well,862.9,78.7,931.8,2,932
Anuradhapura,0.852,Hybrid_B,Loam,Rainfed,371,130.5,1731.1,2,1053.7
Anuradhapura,1.387,Hybrid_A,Clay,Tank,772.4,172.1,2119,2,1698.1
Anuradhapura,1.481,Hybrid_B,Clay,Rainfed,813.6,139,0,1,1375.1
Anuradhapura,1.529,Hybrid_A,Sandy,Rainfed,453.1,99.3,0,0,1068.4
Anuradhapura,1.388,Hybrid_A,Sandy,Canal,1041.2,168.6,1827.3,2,1599.2
Anuradhapura,6.573,OPV_Local,Clay,Rainfed,945.5,131.3,0,2,814.8
Anuradhapura,1.559,OPV_Local,Sandy,Tank,337.5,111.1,458,2,762.9
Anuradhapura,1.756,OPV_Local,Loam,Rainfed,778.3,219.2,795.3,3,670.9
Anuradhapura,1.35,OPV_Local,Clay,Canal,934,43,1096.3,3,526.2
Anuradhapura,1.36,Hybrid_A,Loam,Tank,830.4,80.4,2233.9,2,1760
Anuradhapura,4.222,OPV_Local,Sandy,Canal,952.3,132.6,0,1,1060.5
Anuradhapura,2.806,Hybrid_A,Clay,Tank,289.9,101.7,1909.8,1,1431.3
Anuradhapura,0.893,Hybrid_A,Sandy,Tank,802.9,115.2,2212.8,2,1618.1
Anuradhapura,4.572,OPV_Local,Loam,Tube well,806.1,116.8,1422.6,1,1137.3
Anuradhapura,1.658,Hybrid_B,Sandy,Rainfed,908.5,125.1,1708.7,3,913.9
Anuradhapura,1.062,OPV_Local,Loam,Tank,885.9,68.2,484.1,1,988.9
Anuradhapura,4.853,OPV_Local,Loam,Rainfed,1052.1,57.3,0,3,487.7
Anuradhapura,4.692,OPV_Local,Loam,Tank,838.4,202.7,1005.3,0,1275.2
Anuradhapura,0.707,OPV_Local,Loam,Rainfed,885.1,120.4,892.9,3,677.5
Anuradhapura,0.961,OPV_Local,Loam,Rainfed,915.8,100.9,1499.1,1,1142.9
Anuradhapura,0.41,Hybrid_B,Loam,Rainfed,804.1,92.8,1083.3,3,989.6
Anuradhapura,2.419,OPV_Local,Loam,Tube well,788.5,107.5,0,2,1085.2
Anuradhapura,2.065,Hybrid_A,Clay,Tank,230.6,130.8,0,1,1371.4
Anuradhapura,0.302,Hybrid_A,Clay,Canal,966.5,68.7,1988.4,3,1217.1
Anuradhapura,0.74,Hybrid_A,Loam,Tube well,820.5,60.6,0,2,1500.5
Anuradhapura,1.098,OPV_Local,Sandy,Canal,498.5,206.9,702.6,2,772.8
Anuradhapura,9.87,Hybrid_A,Clay,Canal,941.3,191.8,0,3,1328.6
Anuradhapura,2.528,OPV_Local,Clay,Rainfed,402.2,114.8,1570.1,3,497
Anuradhapura,0.791,OPV_Local,Loam,Canal,308.9,89.4,849.8,3,631.8
Anuradhapura,0.288,Hybrid_A,Loam,Rainfed,389.5,154.3,2051.3,3,1001.8
Anuradhapura,1.91,OPV_Local,Clay,Tube well,954.4,55.1,892.6,1,946.4
Anuradhapura,0.473,Hybrid_A,Clay,Tank,389.8,102.3,1692.5,1,1578
Anuradhapura,2.422,Hybrid_B,Clay,Tube well,707.7,173.3,1194.5,2,1615.6
Anuradhapura,0.699,Hybrid_A,Clay,Rainfed,299.6,108.6,0,1,943.6
Anuradhapura,1.762,OPV_Local,Clay,Tube well,870.7,128.2,931.2,1,1047.9
Anuradhapura,1.822,Hybrid_B,Loam,Tube well,947.7,58.8,0,2,1183.9
Anuradhapura,1.514,Hybrid_B,Loam,Tube well,910.5,50.3,1488,1,1550.4
Anuradhapura,0.599,Hybrid_A,Loam,Tank,412.3,110.6,0,2,1576.8
Anuradhapura,0.574,Hybrid_A,Clay,Rainfed,935.7,136.3,1677.8,0,1922.9
Anuradhapura,1.949,Hybrid_A,Loam,Rainfed,446.9,96,1357.2,1,1446.3
Anuradhapura,3.506,OPV_Local,Clay,Tank,323.2,95.5,1140.7,3,462.3
Anuradhapura,7.177,OPV_Local,Loam,Tube well,359.2,167.6,603.6,2,701.6
Anuradhapura,4.36,OPV_Local,Loam,Tank,1067.6,109.3,690.2,2,968
Anuradhapura,0.852,OPV_Local,Sandy,Tube well,397.4,97.1,743.4,1,764
Anuradhapura,1.555,Hybrid_B,Loam,Tank,369.5,84.5,1648.4,1,1460.6
Anuradhapura,1.695,Hybrid_B,Loam,Tank,800.3,168.1,1225.7,3,1359.3
Anuradhapura,1.137,OPV_Local,Sandy,Canal,418.2,190.9,0,1,872
Anuradhapura,3.515,Hybrid_A,Loam,Canal,380.2,202.3,2231.3,1,2038.9
Anuradhapura,0.749,Hybrid_B,Sandy,Rainfed,332.4,84.7,1455.5,2,781.4
Anuradhapura,1.845,OPV_Local,Clay,Tank,372.6,79,1305.7,3,543.5
Anuradhapura,1.435,Hybrid_B,Clay,Rainfed,340.7,114.4,1353.9,1,937.2
Anuradhapura,8.203,OPV_Local,Sandy,Canal,795.8,45.4,671.4,0,911.4
Anuradhapura,1.512,OPV_Local,Loam,Rainfed,467.7,196,680.1,2,797.4
Anuradhapura,4.72,Hybrid_B,Loam,Rainfed,345,105.6,1514.8,2,887.8
Anuradhapura,0.837,OPV_Local,Clay,Rainfed,918.3,205.8,0,1,908
Anuradhapura,3.751,Hybrid_B,Sandy,Rainfed,987.3,82.6,2167.6,2,1143.1
Anuradhapura,1.837,Hybrid_B,Loam,Rainfed,379.6,50,1407.3,2,919
Anuradhapura,3.469,OPV_Local,Loam,Tank,767.6,78.1,1352.4,1,1198.3
Anuradhapura,2.572,OPV_Local,Loam,Rainfed,802,91,841.2,1,944.8
Anuradhapura,3.789,Hybrid_A,Loam,Tank,792.5,177.9,2651.4,1,2088.5
Anuradhapura,1.535,Hybrid_B,Loam,Tube well,487.8,106,1739.7,2,1498.9
Anuradhapura,1.457,OPV_Local,Loam,Tank,849.9,199.7,724.3,2,1053.6
Anuradhapura,1.704,OPV_Local,Sandy,Rainfed,385.5,108.9,0,2,500
Anuradhapura,1.119,Hybrid_A,Loam,Rainfed,861.1,75.2,2263.9,1,1854.8
Anuradhapura,0.698,Hybrid_A,Sandy,Tube well,363.4,65.6,1751.1,2,1079.7
Anuradhapura,2.138,Hybrid_B,Loam,Rainfed,829.2,141.7,2122.1,0,1913.1
Anuradhapura,0.925,Hybrid_B,Loam,Tank,471.9,60,1903.9,3,925.9
Anuradhapura,0.567,OPV_Local,Loam,Tank,919.6,131.4,937.5,3,780.3
Anuradhapura,1.483,OPV_Local,Clay,Tube well,908.7,93.2,929.6,1,924.3
Anuradhapura,1.434,OPV_Local,Clay,Tank,731.7,73.1,932.6,1,927.4
Anuradhapura,1.948,OPV_Local,Loam,Tank,972.3,164.5,0,2,867.5
Anuradhapura,1.12,Hybrid_B,Loam,Tank,464.9,150,1847.2,2,1533.5
Anuradhapura,6.817,Hybrid_A,Sandy,Tank,869.4,104.5,0,2,1596.9
Anuradhapura,4.893,OPV_Local,Sandy,Tank,373.7,105.5,855.8,1,652.3
Anuradhapura,1.05,Hybrid_A,Loam,Rainfed,374.9,103.1,1759.6,3,876.9
Anuradhapura,1.178,Hybrid_B,Clay,Canal,883.7,156.9,0,1,1702.5
Anuradhapura,1.301,Hybrid_B,Loam,Tube well,802,141.1,1304.5,1,1967.5
Anuradhapura,4.245,OPV_Local,Loam,Tube well,362.9,99.3,821.3,2,632.6
Anuradhapura,1.927,OPV_Local,Loam,Tank,665.3,137.1,909.3,3,755.9
Anuradhapura,4.425,Hybrid_B,Sandy,Tank,925.6,148.9,1766,1,1648.3
Anuradhapura,2.097,OPV_Local,Loam,Rainfed,817.3,201.4,1482.9,1,1289.2
Anuradhapura,3.163,OPV_Local,Sandy,Rainfed,260.2,110.1,1256.8,2,446.2
Anuradhapura,1.571,Hybrid_B,Sandy,Canal,376.9,214.7,1186.7,2,1095.4
Anuradhapura,0.478,Hybrid_A,Sandy,Rainfed,853.3,116.4,1891.5,2,1375.2
Anuradhapura,0.877,Hybrid_A,Loam,Rainfed,346.3,136.3,1812.5,2,1199
Anuradhapura,0.632,OPV_Local,Loam,Tank,900.9,50.7,300,1,861
Anuradhapura,0.812,Hybrid_A,Sandy,Tank,228.7,133.5,2178.7,3,827.3
Anuradhapura,1.149,OPV_Local,Clay,Tank,367.8,93.1,1372.3,3,667.9
Anuradhapura,4.929,Hybrid_A,Sandy,Canal,378.3,97.3,1469.7,2,1169.8
Anuradhapura,0.703,Hybrid_B,Loam,Rainfed,818,129.1,1381.5,2,1442.2
Anuradhapura,2.318,OPV_Local,Sandy,Tank,389.5,139.1,959.5,0,917.5
Anuradhapura,1.93,Hybrid_B,Sandy,Tank,773.9,59.5,0,3,733.4
Anuradhapura,1.907,OPV_Local,Sandy,Tank,307.9,40.3,874,2,449.4
Anuradhapura,4.557,Hybrid_B,Loam,Tank,903.7,171.7,1779.6,1,2248.4
Anuradhapura,0.425,Hybrid_B,Loam,Rainfed,988,113.2,1879.2,1,1653
Anuradhapura,0.638,Hybrid_B,Sandy,Rainfed,791.5,120,1485.6,0,1347.5
Anuradhapura,4.576,Hybrid_A,Sandy,Tube well,821.5,102.3,0,2,1493.7
Anuradhapura,1.283,OPV_Local,Loam,Rainfed,853.1,92.2,643.9,2,831
Anuradhapura,0.944,OPV_Local,Loam,Rainfed,379.5,110.4,696.3,2,520.3
Anuradhapura,3.451,Hybrid_A,Loam,Tank,753.6,199.6,1967.5,3,1701.4
Anuradhapura,6.62,Hybrid_A,Loam,Tube well,903.3,121.8,1340.7,0,2341.6
Anuradhapura,1.838,OPV_Local,Loam,Tank,809.4,148.5,636.5,2,1126.1
Anuradhapura,0.884,OPV_Local,Loam,Rainfed,878.5,72.2,1159.8,1,1018.2
Anuradhapura,0.532,Hybrid_B,Loam,Rainfed,736.8,161.3,1979.2,0,2030.3
Anuradhapura,0.4,Hybrid_A,Clay,Tank,893.9,76,2502.3,2,1583.5
Anuradhapura,1.044,OPV_Local,Sandy,Canal,1018.9,108.5,1037.4,2,957.6
Anuradhapura,1.622,OPV_Local,Loam,Tank,908.2,63.8,1254.6,2,1036
Anuradhapura,0.652,OPV_Local,Clay,Canal,439.6,115.9,1072.3,0,866.1
Anuradhapura,1.784,OPV_Local,Sandy,Rainfed,791.4,106.3,1176.3,3,679.5
Anuradhapura,0.694,Hybrid_A,Loam,Tank,303.6,115.4,1646.2,1,1612.9
Anuradhapura,0.853,OPV_Local,Loam,Canal,1004.2,128.8,947.4,1,964.9
Anuradhapura,1.487,Hybrid_B,Sandy,Rainfed,744.2,113.7,1630.1,2,1184.7
Anuradhapura,8.07,OPV_Local,Loam,Rainfed,897.3,41.9,903.3,2,690.4
Anuradhapura,1.153,OPV_Local,Loam,Rainfed,342.8,177.2,1039.4,0,809.1
